"State";"Jan1_colonies";"Maximum_colonies";"Lost_colonies";"Percent_lost";"Added_colonies";"Renovated_colonies";"Percent_renovated"
Alabama;      5,500; 5,500;  650; 12;    800;   200;   4     
Arizona;     22,000;22,000;2,500; 11;    430;    90; 0.24     
Arkansas;     28,000;28,000;6,500; 23;     20;    20; 0.24     
California;  1,140,000 ;   1,580,000;     235,000; 15; 83,000;86,000;   5     
Colorado;      5,000; 7,500;  320;  4;      0;     0;   0     
Connecticut;      3,100; 3,100;  270;  9;    170;    10; 0.24     
Florida;    300,000  ;    315,000  ;    46,000; 15; 41,000;16,500;   5     
Georgia;    120,000  ;    129,000 ;     14,500; 11; 19,500; 8,000;   6     
Hawaii;     16,500;16,500;  390;  2;    660; 3,700;  22     
Idaho;    132,000  ;    145,000  ;    12,500;  9;  4,600; 1,100;   1     
Illinois;      9,000; 9,000;2,300; 26;    210;    80;   1     
Indiana;      6,000; 6,000;  710; 12;    440;   280;   5     
Iowa;      7,500;11,500;1,600; 14;    170;   140;   1     
Kansas;      4,500; 4,500;1,500; 33;    370;   110;   2     
Kentucky;      3,700; 4,400;  890; 20;     60;    30;   1     
Louisiana;     49,000;51,000;3,500;  7;  9,000;16,000;  31     
Maine;      7,000; 7,000;  470;  7;     10;    30; 0.24     
Maryland;      8,000; 8,000;2,300; 29;     30;    10; 0.24     
Massachusetts;      3,800; 3,800;  680; 18;     60;    20;   1     
Michigan;     24,000;33,000;6,500; 20;      0;     0;   0     
Minnesota;     17,000;43,000;2,200;  5;     80;   470;   1     
Mississippi;     26,000;29,000;2,400;  8;  3,800; 1,700;   6     
Missouri;      8,500; 8,500;1,100; 13;     80;    60;   1     
Montana;     37,000;68,000;3,500;  5;  1,700; 1,900;   3     
Nebraska;     13,500;16,500;2,500; 15;      0;     0;   0     
"New Jersey";      6,000; 6,000;  310;  5;    130;    60;   1     
"New Mexico";      4,800; 4,800;  170;  4;      0;     0;   0     
"New York";     24,000;24,000;3,400; 14;    110;    80; 0.24     
"North Carolina";     10,500;14,500;1,700; 12;    750;   890;   6     
"North Dakota";     92,000  ;   102,000;1,100;  1;      0; 1,300;   1     
Ohio;     10,500;12,500;3,500; 28;  1,700;   440;   4     
Oklahoma;     21,000;55,000;   50;0.24;     20;     0;   0     
Oregon;     89,000;95,000;7,500;  8;  8,000; 1,800;   2     
Pennsylvania;     15,000;15,000;2,900; 19;    370;   320;   2     
"South Carolina";     12,000;13,000;  690;  5;  2,000;   340;   3     
"South Dakota";     18,500;18,500;1,100;  6;      0;     0;   0     
Tennessee;      6,000; 7,000;1,500; 21;    240;   320;   5     
Texas;    260,000   ;   330,000 ;     17,000;  5; 61,000;35,000;  11     
Utah;      8,500;11,000;1,800; 16;    900;     0;   0     
Vermont;      6,500; 6,500;  260;  4;     50;     0;   0     
Virginia;      5,500; 5,500;1,100; 20;     80;   110;   2     
Washington;     51,000;75,000;7,000;  9;  5,500; 2,200;   3     
"West Virginia";      5,000; 7,000;1,300; 19;     20;    60;   1     
Wisconsin;     16,500;17,000;3,700; 22;    580;   100;   1     
Wyoming;      6,500; 9,500;  250;  3;      0;     0;   0     
"Other States";      6,070; 6,070;  590; 10;     70;    30; 0.24     
"United States";  2,671,470;;   407,700; 15;247,710   ;   179,500;   7   
