State;July1_colonies;Maximum_colonies;Lost_colonies;Percent_lost;Added_colonies;Renovated_colonies;Percent_renovated
Alabama; 7,000.0    ;    7,000.0      ;     990.0   ;     14.0   ;          160.0 ;          330.0 ;         5.0  
Arizona;26,000       ;30,000         ;2,000       ;  7         ;  5,500      ;   3,800        ; 13 
Arkansas; 20,000     ;  21,000       ;  2,100      ;  10          ;   170      ;     680        ;  3  
California;   650,000 ;     700,000   ;     93,000  ;      13    ;      87,000  ;     108,000    ;     15
Colorado;33,000     ;  36,000        ; 9,500       ; 26     ;  2,200       ;  3,400         ; 9 
Connecticut;4,400    ;    4,400      ;     200      ;   5  ;     70      ;     470      ;   11  
Florida;210,000     ; 240,000       ; 20,000        ; 8     ;46,000     ;   33,000       ;  14
Georgia;  116,000    ;  118,000      ;  13,000       ; 11   ;   12,000    ;    36,000       ;  31      
Hawaii;   17,000    ;   17,000      ;     200        ; 1   ;      200      ;   6,000       ;  35  
Idaho;  95,000     ; 111,000       ; 10,500        ; 9 ;  8,500      ;  12,500        ; 11  
Illinois;   13,500  ;     13,500     ;      940     ;    7     ;        460   ;      1,300   ;      10  
Indiana;  14,000     ;  16,000      ;   1,000        ; 6      ;     2,200      ;   1,500    ;      9  
Iowa; 30,000      ; 33,000         ;3,400        ;10    ;  2,000      ;   4,800       ;  15 
Kansas;   7,500    ;    7,500       ;  1,900      ;  25      ;   190    ;       400       ;   5     
Kentucky;   8,000   ;     8,500       ;    850     ;   10    ;  700   ;        430       ;   5    
Louisiana;   42,000  ;     44,000    ;     4,100    ;     9        ;   4,400  ;      13,000    ;     30    
Maine;  11,500     ;  12,000        ; 1,100       ;  9      ; 460       ;  3,500        ; 29   
Maryland;   7,500   ;     7,500       ;    790     ;   11          ;   720     ;    1,200       ;  16 
Massachusetts; 13,500;       13,500  ;       1,100  ;       8     ;        800  ;         560    ;      4  
Michigan; 94,000     ;  99,000      ;  11,000      ;  11         ;  3,000     ;    3,300        ;  3  
Minnesota;   126,000  ;    129,000       ; 21,000   ;     16         ;  5,000  ;       2,100        ;  2  
Mississippi;  23,000   ;    23,000      ;   2,900    ;    13        ;     550   ;        850       ;   4   
Missouri;   10,500    ;   10,500       ;    500     ;    5         ;    260     ;      350        ;  3     
Montana; 147,000     ; 154,000        ;18,500       ; 12          ; 3,600     ;   12,500         ; 8  
Nebraska; 40,000      ; 41,000       ;  3,700        ; 9          ;   680      ;   1,400        ;  3  
New Jersey;  16,000    ;   16,000      ;     680      ;   4        ;     650    ;     3,100       ;  19  
New Mexico;   2,400     ;   5,500     ;      170       ;  3       ;    1,000     ;      550      ;   10
New York; 65,000     ;  69,000       ;  8,500       ; 12 ;          3,200        ; 3,700        ;  5   
North Carolina; 22,000 ;      22,000       ;  2,700  ;      12      ;     1,800   ;      5,000 ;        23 
North Dakota; 530,000   ;   530,000       ; 81,000    ;    15      ;    15,000     ;   17,500 ;         3      
Ohio; 19,500    ;   19,500;         1,600;         8   ;        2,800 ;        3,000        ; 15    
Oklahoma;    7,500 ;       7,500 ;          930       ; 12      ;       130       ;  1,100      ;   15 
Oregon;  83,000    ;  118,000   ;      8,000        ; 7 ;          6,000      ;  21,000        ; 18    
Pennsylvania;  19,000 ;      20,000     ;      980   ;      5      ;     1,800 ;        1,900      ;   10 
South Carolina;  14,500;       14,500  ;       2,200  ;      15   ;        2,000;         1,400   ;      10 
South Dakota;    255,000;      255,000;        51,000  ;      20 ;          1,300;         8,000 ;         3 
Tennessee; 14,000      ; 14,000    ;     4,500     ;   32 ;          2,200     ;    2,200       ;  16   
Texas; 126,000   ;   133,000      ;  11,000       ;  8  ;         6,500       ;  7,000         ; 5
Utah; 24,000      ; 29,000       ;  2,800    ;    10     ;      3,500       ;  1,700          ;6      
Vermont;7,000      ;  7,000         ;  120    ;     2           ;   80       ;    490        ;  7 
Virginia;  9,000    ;    9,000       ;    570  ;       6        ;     350     ;      820         ; 9    
Washington; 85,000   ;    97,000    ;    21,000 ;       22      ;    12,000    ;    10,000        ; 10 
West Virginia;10,000  ;     10,000  ;       1,100;        11   ;          200   ;      1,100     ;    11 
Wisconsin;    63,000   ;    63,000 ;        6,500 ;       10  ;         2,400    ;    10,000    ;     16  
Wyoming;24,000      ; 27,000   ;      3,000       ; 11       ;    2,500      ;   3,500         ;13  
"Other States";13,660  ;     13,900       ;  2,080   ;     15       ;      320  ;         900     ;     6 
"United States"; 3,175,960    ;      0  ;     434,700   ;     14 ;        252,550   ;    355,330;         11    
