FullName,Winery,WineName,Year,Region,RegionalVariety,VintageRating,VintageRatingCount,WineRating,WineRatingCount,VintagePrice,WinePrice,VintageRatingPriceRatio,WineRatingPriceRatio
Domaine Coche-Dury Meursault Les Rougeots 2001,Domaine Coche-Dury,Meursault Les Rougeots,2001,Burgundy,Côte de Beaune White,4.9,25,4.7,755,806.58,806.58,0.006075032854769521,0.00582707233008505
Joseph Drouhin Montrachet Grand Cru Marquis de Laguiche 2015,Joseph Drouhin,Montrachet Grand Cru Marquis de Laguiche,2015,Burgundy,Côte de Beaune White,4.8,46,4.6,1191,680,680,0.007058823529411764,0.006764705882352941
Marcassin Marcassin Vineyard Chardonnay 2013,Marcassin,Marcassin Vineyard Chardonnay,2013,Californian,Chardonnay,4.8,28,4.6,884,448,448,0.010714285714285714,0.010267857142857143
M. Chapoutier Ermitage Le Méal Blanc 2006,M. Chapoutier,Ermitage Le Méal Blanc,2006,Northern Rhône,White,4.8,31,4.5,414,164.675,164.675,0.029148322453317138,0.027326552299984815
Domaine Coche-Dury Corton-Charlemagne Grand Cru 2007,Domaine Coche-Dury,Corton-Charlemagne Grand Cru,2007,Burgundy,Côte de Beaune White,4.8,35,4.7,454,3478.36,3478.36,0.001379960671120873,0.0013512114904725215
Domaine Coche-Dury Corton-Charlemagne Grand Cru 2009,Domaine Coche-Dury,Corton-Charlemagne Grand Cru,2009,Burgundy,Côte de Beaune White,4.8,35,4.7,454,4022.8,4022.8,0.0011931987670279406,0.0011683404593815254
Keller G-Max Riesling 2009,Keller,G-Max Riesling,2009,German,Riesling,4.8,37,4.7,209,2420,2420,0.0019834710743801653,0.0019421487603305785
Château Haut-Brion Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2005,Château Haut-Brion,Pessac-Léognan Blanc (Grand Cru Classé de Graves),2005,Bordeaux,White,4.8,39,4.5,820,864,864,0.005555555555555556,0.005208333333333333
Domaine de La Romanée-Conti Montrachet Grand Cru 2010,Domaine de La Romanée-Conti,Montrachet Grand Cru,2010,Burgundy,Côte de Beaune White,4.8,43,4.7,1348,7249.11,7249.11,0.0006621502501686414,0.0006483554532901281
Domaine de La Romanée-Conti Montrachet Grand Cru 2014,Domaine de La Romanée-Conti,Montrachet Grand Cru,2014,Burgundy,Côte de Beaune White,4.8,43,4.7,1348,5419.19,5419.19,0.0008857412270099406,0.000867288284780567
Domaine Coche-Dury Corton-Charlemagne Grand Cru 1998,Domaine Coche-Dury,Corton-Charlemagne Grand Cru,1998,Burgundy,Côte de Beaune White,4.8,27,4.7,454,2923.84,2923.84,0.0016416766991353834,0.0016074751012367299
